Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train_Time_s,Predict_Time_s
Logistic Regression,0.847875166002656,0.7303040209218699,0.6037837837837838,0.6610445332149726,0.9031917229729731,0.3137171268463135,0.01588296890258789
Random Forest,0.8470783532536521,0.7180768029971901,0.6216216216216216,0.6663769375633782,0.8991719761134374,2.015813112258911,0.0715949535369873
